Total exports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2013-05-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,227118,18337,Weight in kilograms
2013-08-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,6096257,352791,Weight in kilograms
2014-10-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,58865,11476,Weight in kilograms
2016-01-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,747713,26403,Weight in kilograms
2016-06-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,14776670,702317,Weight in kilograms
2017-01-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,852445,46512,Weight in kilograms
2017-04-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,1123,58,Weight in kilograms
2017-05-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,80746,3415,Weight in kilograms
2018-06-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,140444,8635,Weight in kilograms
2018-12-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,3726953,203025,Weight in kilograms
2019-02-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,209393,3628,Weight in kilograms
2019-04-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,603816,10886,Weight in kilograms
2019-11-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,5862234,190242,Weight in kilograms
2020-07-01,"0306.11.00 - Rock lobster & o sea crawfish,frz,in shell or not,incl in shell ckd in water,etc",Canada,"The world",N/A,2691,82,Weight in kilograms
2013-01-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,1775654,117104,Weight in kilograms
2014-05-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,502743,34305,Weight in kilograms
2015-12-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,4482364,127346,Weight in kilograms
2016-03-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,283056,22394,Weight in kilograms
2016-10-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,12137091,409919,Weight in kilograms
2019-03-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,784626,39921,Weight in kilograms
2020-01-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,1332820,26017,Weight in kilograms
2021-04-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,711204,40551,Weight in kilograms
2021-08-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,18964214,514101,Weight in kilograms
2021-09-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,14886659,379145,Weight in kilograms
2022-12-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,655142,29559,Weight in kilograms
2013-05-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,30059995,1364963,Weight in kilograms
2015-02-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,12764831,387630,Weight in kilograms
2015-03-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,8940070,236776,Weight in kilograms
2015-06-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,149829798,5667154,Weight in kilograms
2016-11-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,81646519,2458965,Weight in kilograms
2016-12-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,75152865,2218253,Weight in kilograms
2018-11-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,49200888,1320287,Weight in kilograms
2019-05-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,85233180,2466997,Weight in kilograms
2020-01-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,39272866,792548,Weight in kilograms
2021-02-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,14930402,422752,Weight in kilograms
2013-12-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,3993841,405306,Weight in kilograms
2014-01-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,1637171,127008,Weight in kilograms
2016-07-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,142761182,7971753,Weight in kilograms
2016-10-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,4465693,249653,Weight in kilograms
2016-11-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,5855856,369585,Weight in kilograms
2019-12-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,8578324,489123,Weight in kilograms
2020-02-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,1494252,56690,Weight in kilograms
2020-04-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,24892333,1097807,Weight in kilograms
2021-07-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,226883896,6107871,Weight in kilograms
2021-12-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,16082794,344458,Weight in kilograms
2022-09-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,62881454,2805277,Weight in kilograms
2013-07-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,27,2,Weight in kilograms
2014-03-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,30125,2132,Weight in kilograms
2014-08-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,31048,2036,Weight in kilograms
2016-10-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,151459,10886,Weight in kilograms
2020-02-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,140312,5357,Weight in kilograms
2020-10-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,217823,15463,Weight in kilograms
2021-11-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,281420,13565,Weight in kilograms
2013-02-01,"0306.14.90 - Crabs, frozen, nes",Canada,"The world",N/A,355616,39247,Weight in kilograms
2023-02-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,6491143,276068,Weight in kilograms
2023-02-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,25104489,623036,Weight in kilograms
2023-04-01,"0306.12.10 - Lobsters, in brine, frozen",Canada,"The world",N/A,18960,828,Weight in kilograms
2013-10-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,4250647,338844,Weight in kilograms
2014-06-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,103875376,4328044,Weight in kilograms
2015-11-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,6188539,416335,Weight in kilograms
2016-04-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,72304715,4373341,Weight in kilograms
2016-05-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,286090752,17374462,Weight in kilograms
2017-06-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,302285424,14536643,Weight in kilograms
2018-03-01,"0306.14.20 - Crabs, Dungeness, frozen",Canada,"The world",N/A,38924,1671,Weight in kilograms
2018-06-01,"0306.12.90 - Lobsters, nes, frozen",Canada,"The world",N/A,165699138,4880039,Weight in kilograms
2018-07-01,"0306.14.10 - Crabs, snow (Queen), frozen",Canada,"The world",N/A,158949456,6504363,Weight in kilograms
