,Period,Commodity,Value_$,Quantity_kg
0,2017-11-01,"1605.30.10 - lobster, prepared or preserved, frozen",26950137,619951
1,2019-12-01,"1605.30.10 - lobster, prepared or preserved, frozen",42537812,863326
2,2021-01-01,"1605.30.10 - lobster, prepared or preserved, frozen",24817872,562014
3,2021-03-01,"1605.30.10 - lobster, prepared or preserved, frozen",8205605,148908
4,2021-09-01,"1605.30.10 - lobster, prepared or preserved, frozen",74046708,1091663
5,2021-10-01,"1605.30.10 - lobster, prepared or preserved, frozen",52725058,757717
6,2022-01-01,"1605.30.10 - lobster, prepared or preserved, frozen",26214943,424400
7,2022-05-01,"1605.30.10 - lobster, prepared or preserved, frozen",52391054,795158
8,2022-10-01,"1605.30.10 - lobster, prepared or preserved, frozen",38732794,714059
9,2013-03-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",1825991,61193
10,2013-09-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",21376136,832370
11,2014-08-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",21647705,707299
12,2014-10-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",34556623,1049523
13,2015-01-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",14695767,396237
14,2015-08-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",35512597,791289
15,2013-07-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",648646,15283
16,2013-08-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",702152,16752
17,2014-08-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",941984,19162
18,2016-01-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",817056,19235
19,2016-04-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",373844,11247
20,2016-07-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",1221216,34740
21,2016-09-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",1476319,56219
22,2016-10-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",545023,15071
23,2018-04-01,"1605.30.20 - lobster, prepared or preserved, in cans, o/t frozen",326864,33192
24,2018-06-01,"1605.30.20 - lobster, prepared or preserved, in cans, o/t frozen",23133,3992
25,2021-04-01,"1605.30.20 - lobster, prepared or preserved, in cans, o/t frozen",17671,3193
26,2021-05-01,"1605.30.20 - lobster, prepared or preserved, in cans, o/t frozen",441556,30953
27,2021-08-01,"1605.30.20 - lobster, prepared or preserved, in cans, o/t frozen",879528,83315
28,2017-02-01,"1605.30.90 - lobster, prepared or preserved, nes",531922,16038
29,2017-12-01,"1605.30.90 - lobster, prepared or preserved, nes",1482075,95298
30,2018-11-01,"1605.30.90 - lobster, prepared or preserved, nes",719171,64308
31,2020-09-01,"1605.30.90 - lobster, prepared or preserved, nes",887189,45748
32,2021-07-01,"1605.30.90 - lobster, prepared or preserved, nes",2322797,215986
33,2022-03-01,"1605.30.90 - lobster, prepared or preserved, nes",506619,35857
34,2023-07-01,"1605.30.90 - lobster, prepared or preserved, nes",3873483,155365
35,2013-07-01,"1605.30.91 - lobster, prepared or preserved, in airtight containers (terminated 2016-12)",208970,5841
36,2015-10-01,"1605.30.91 - lobster, prepared or preserved, in airtight containers (terminated 2016-12)",689362,58880
37,2016-07-01,"1605.30.91 - lobster, prepared or preserved, in airtight containers (terminated 2016-12)",73661,6140
38,2016-08-01,"1605.30.91 - lobster, prepared or preserved, in airtight containers (terminated 2016-12)",51955,4743
39,2013-09-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",410576,66282
40,2014-12-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",319680,96724
41,2015-06-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",2572840,201279
42,2015-07-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",1318064,111630
43,2015-12-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",490738,83074
44,2016-01-01,"1605.30.99 - lobster, prepared or preserved, o/t in airtight containers (terminated 2016-12)",449577,46891
45,1988-11-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",3040456,155956
46,1989-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",8769324,370512
47,1990-07-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1672961,130849
48,1991-02-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1058156,61185
49,1991-12-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1159702,75208
50,1992-05-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",7567894,270314
51,1992-11-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1818911,88776
52,1993-09-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",4368495,154769
53,1994-01-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1842813,71825
54,1994-09-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",5400182,239198
55,1995-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",7974660,275715
56,1995-11-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",2583993,114498
57,1996-01-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",809694,43514
58,1996-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",10782987,355729
59,1997-10-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",10787845,398234
60,1999-04-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",921706,47215
61,1999-09-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",14237675,425230
62,1999-10-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",13369803,389691
63,1999-12-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",5749272,174874
64,2000-03-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",3012829,82029
65,2000-10-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",15177380,426731
66,2001-04-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",2099219,72458
67,2001-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",17410476,446106
68,2002-01-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",3238293,103449
69,2002-03-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",2550852,99838
70,2002-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",24822511,700521
71,2003-05-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",11130015,332080
72,2004-10-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",18149336,597734
73,2005-08-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",11306122,342919
74,2006-06-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",28511923,870215
75,2008-09-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",15655302,449388
76,2009-02-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",1242488,45272
77,2010-09-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",15748427,648180
78,2010-10-01,"1605.30.11 - lobster meat, frozen, simply boiled in water (terminated 2016-12)",15812858,618756
79,2012-02-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",2228773,78949
80,2012-03-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",394977,18180
81,2012-10-01,"1605.30.11 - lobster meat, frozen, cooked by steaming or boiling in water (terminated 2016-12)",21391901,889225
82,1988-09-01,"1605.30.12 - lobster meat, not frozen, simply boiled in water (terminated 1989-12)",1042205,48984
83,1989-07-01,"1605.30.12 - lobster meat, not frozen, simply boiled in water (terminated 1989-12)",6781,320
84,1989-11-01,"1605.30.12 - lobster meat, not frozen, simply boiled in water (terminated 1989-12)",5279,192
85,1989-12-01,"1605.30.12 - lobster meat, not frozen, simply boiled in water (terminated 1989-12)",25186,2919
86,1990-05-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",235969,12077
87,1990-12-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",195374,7664
88,1991-10-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",1257,44
89,1992-11-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",277093,10492
90,1993-06-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",171824,8322
91,1995-07-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",157801,3692
92,1997-05-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",278645,6151
93,1998-12-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",33172,1389
94,2000-07-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",166759,3996
95,2001-06-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",14608,218
96,2002-11-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",207792,4224
97,2005-10-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",175740,3339
98,2006-01-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",109209,2158
99,2006-03-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",500267,16395
100,2006-08-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",405227,7815
101,2007-04-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",215943,3777
102,2008-10-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",280429,8565
103,2008-11-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",97102,1827
104,2009-01-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",81482,4076
105,2010-01-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",63948,1731
106,2010-05-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",778270,32244
107,2011-10-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",368208,7560
108,2011-11-01,"1605.30.19 - lobster meat, not frozen, simply boiled in water (terminated 2016-12)",300440,6172
109,2012-06-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",1198682,26559
110,2012-11-01,"1605.30.19 - lobster meat, o/t frozen, cooked by steaming or boiling in water (terminated 2016-12)",596215,16596
