,0
0,Afghanistan
1,Albania
2,Antigua And Barbuda
3,Argentina
4,Armenia
5,Aruba
6,Australia
7,Austria
8,Bahamas
9,Bahrain
10,Barbados
11,Belarus
12,Belgium
13,Belize
14,Bermuda
15,Bolivia
16,"Bonaire, Sint Eustatius And Saba"
17,Brazil
18,Bulgaria
19,Burkina Faso
20,Cabo Verde
21,Cambodia
22,Cayman Islands
23,Central African 
24,Chile
25,China
26,Christmas Island
27,Cocos
28,Colombia
29,"Congo, Democratic   "
30,Costa Rica
31,Cote D'Ivoire
32,Cuba
33,Cyprus
34,Czechia
35,Czechoslovakia
36,Denmark
37,Djibouti
38,Dominica
39,Dominican 
40,Ecuador
41,Egypt
42,Estonia
43,Eswatini
44,Fiji
45,Finland
46,Former Union  Soviet Socialist Republics
47,France
48,French Polynesia
49,French Southern Antarctic Territories
50,French Southern Territories
51,Gabon
52,Gambia
53,Georgia
54,Germany
55,Ghana
56,Greece
57,Greenland
58,Guadeloupe
59,Guam
60,Guatemala
61,Guinea
62,Guinea-Bissau
63,Haiti
64,Heard Island And Mcdonald Islands
65,Honduras
66,Hong Kong
67,Hungary
68,Iceland
69,India
70,Indonesia
71,Iran
72,Ireland
73,Israel
74,Italy
75,Jamaica
76,Japan
77,Jordan
78,Kazakhstan
79,Kenya
80,Kiribati
81,"Korea, North"
82,"Korea, South"
83,Kuwait
84,Kyrgyzstan
85,Laos
86,Lebanon
87,Lesotho
88,Luxembourg
89,Macao
90,Malawi
91,Malaysia
92,Maldives
93,Malta
94,Martinique
95,Mauritius
96,Mexico
97,"Moldova,  "
98,Mongolia
99,Morocco
100,Myanmar
101,Namibia
102,Nauru
103,Nepal
104,Netherlands
105,Netherlands Antilles
106,New Zealand
107,Niger
108,Norfolk Island
109,Norway
110,Oman
111,Pakistan
112,Panama
113,Peru
114,Philippines
115,Poland
116,Portugal
117,Qatar
118,Romania
119,Russian Federation
120,"Saint Helena, Ascension And Tristan Da Cunha"
121,Saint Pierre And Miquelon
122,Saudi Arabia
123,Senegal
124,Serbia
125,Seychelles
126,Sierra Leone
127,Singapore
128,Slovakia
129,Slovenia
130,"South Africa,  "
131,South Sudan
132,Spain
133,Sri Lanka
134,Sweden
135,Switzerland
136,Syria
137,Taiwan
138,Tajikistan
139,"Tanzania, United  "
140,Thailand
141,Timor-Leste
142,Tokelau
143,Trinidad And Tobago
144,Tunisia
145,Turkiye
146,Turks And Caicos Islands
147,Ukraine
148,Union  Soviet Socialist Republics
149,United Arab Emirates
150,United Kingdom
151,United States
152,United States Minor Outlying Islands
153,Uruguay
154,Uzbekistan
155,Venezuela
156,Viet Nam
157,Yugoslavia
