,country_code,year,GDP-USD
0,ABW,1988,596648044.692737
1,ALB,1988,2051236250.0
2,ARE,1988,36275674203.2144
3,ARG,1988,126928000000.0
4,ARM,1988,
5,ATG,1988,398637727.777778
6,AUS,1988,236154038684.292
7,AUT,1988,133339397080.129
8,BEL,1988,162299103675.261
9,BFA,1988,2616040478.99309
10,BGR,1988,22555941176.4706
11,BHR,1988,3702393617.02128
12,BHS,1988,2817900000.0
13,BLR,1988,
14,BLZ,1988,320093360.27
15,BMU,1988,1415100032.0
16,BOL,1988,4597611710.02127
17,BRA,1988,
18,BRB,1988,1812757917.76463
19,CAF,1988,1264899287.51261
20,CHE,1988,215540625298.982
21,CHL,1988,26042571602.0453
22,CHN,1988,407844670393.058
23,CIV,1988,10255169812.0186
24,COD,1988,9207333740.83333
25,COL,1988,39212550050.4223
26,CPV,1988,264308140.285149
27,CRI,1988,4614629898.40348
28,CUB,1988,27458999472.2955
29,CYM,1988,
30,CYP,1988,4278792597.23965
31,CZE,1988,
32,DEU,1988,1401233225303.49
33,DJI,1988,395794538.630775
34,DMA,1988,171106184.074074
35,DNK,1988,115552846616.653
36,DOM,1988,5374299981.49698
37,ECU,1988,13051881851.4068
38,EGY,1988,34980124929.0176
39,ESP,1988,376160409941.437
40,EST,1988,
41,FIN,1988,109058990760.483
42,FJI,1988,1110009522.75743
43,FRA,1988,1018847043277.17
44,GAB,1988,3834503376.02992
45,GBR,1988,910122732123.799
46,GEO,1988,
47,GHA,1988,5197765031.64557
48,GIN,1988,2384295816.52755
49,GMB,1988,266672211.934161
50,GNB,1988,164458120.318029
51,GRC,1988,76261277924.5736
52,GRL,1988,898607670.624413
53,GTM,1988,7841602824.42748
54,GUM,1988,
55,HKG,1988,59707404560.5944
56,HND,1988,5902717091.41631
57,HTI,1988,2613926800.0
58,HUN,1988,
59,IDN,1988,84300174485.7973
60,IND,1988,296589670895.932
61,IRL,1988,37772896220.7559
62,IRN,1988,123057861333.908
63,ISL,1988,6106635816.24587
64,ISR,1988,
65,ITA,1988,891608957155.608
66,JAM,1988,3828342820.3494
67,JOR,1988,6277451829.05325
68,JPN,1988,3125724434400.79
69,KAZ,1988,
70,KEN,1988,8355380879.12955
71,KGZ,1988,
72,KHM,1988,
73,KIR,1988,44534450.9136594
74,KOR,1988,199591287824.777
75,KWT,1988,20690322152.8945
76,LAO,1988,598961269.297879
77,LBN,1988,3313540067.93246
78,LKA,1988,6978371581.26375
79,LSO,1988,470395800.600668
80,LUX,1988,9418167855.18376
81,MAC,1988,2288761822.51257
82,MAR,1988,25705296183.5037
83,MDA,1988,
84,MDV,1988,168514513.375071
85,MEX,1988,181611150496.787
86,MLT,1988,2019474244.19359
87,MMR,1988,1541088316.97373
88,MNG,1988,3204461566.66667
89,MUS,1988,2134513096.5249
90,MWI,1988,2008189508.2731
91,MYS,1988,35272109220.1988
92,NAM,1988,2495094746.44024
93,NER,1988,2280356192.76273
94,NLD,1988,261910508417.884
95,NOR,1988,101900260856.222
96,NPL,1988,3487009748.35638
97,NRU,1988,
98,NZL,1988,45176811594.2029
99,OMN,1988,8386215864.75943
100,PAK,1988,38472742808.3167
101,PAN,1988,5902783400.0
102,PER,1988,15439408447.2
103,PHL,1988,43152128958.6116
104,POL,1988,
105,PRK,1988,
106,PRT,1988,56347250696.3788
107,PYF,1988,2723496362.04645
108,QAT,1988,6038187032.96703
109,ROU,1988,40424528301.8868
110,RUS,1988,554828660436.137
111,SAU,1988,88256162068.9725
112,SEN,1988,6418419388.63499
113,SGP,1988,25371462488.1292
114,SLE,1988,1055083945.37738
115,SRB,1988,
116,SSD,1988,
117,SVK,1988,
