ds,y
1988-01-01,32094345.5527425
1988-02-01,26852319.98882673
1988-03-01,34003540.0947074
1988-04-01,27637080.916666567
1988-05-01,82665791.2707179
1988-06-01,130102649.9999995
1988-07-01,50832189.83768895
1988-08-01,39067953.41917797
1988-09-01,26707153.758904032
1988-10-01,10706107.07230555
1988-11-01,11091604.826086918
1988-12-01,41457399.13043463
1989-01-01,26701934.56562915
1989-02-01,18003780.499328796
1989-03-01,20589417.506702323
1989-04-01,26175539.903871726
1989-05-01,84019207.99999969
1989-06-01,89081982.38633348
1989-07-01,34662020.51764693
1989-08-01,32335869.219895143
1989-09-01,20961460.59842511
1989-10-01,14645918.190351965
1989-11-01,8408820.156046782
1989-12-01,41785471.550913714
1990-01-01,23953018.358709607
1990-02-01,20118862.656370595
1990-03-01,30574270.816901304
1990-04-01,31229720.815384485
1990-05-01,71436522.32142836
1990-06-01,79584473.48919918
1990-07-01,41875883.17974669
1990-08-01,25352819.030302938
1990-09-01,20390619.622641448
1990-10-01,13686906.754669935
1990-11-01,6521729.940594036
1990-12-01,39204238.513010986
1991-01-01,23050506.128878217
1991-02-01,19747025.040572736
1991-03-01,24646358.647686735
1991-04-01,29325950.559241608
1991-05-01,79762073.19339593
1991-06-01,84962999.73207963
1991-07-01,36223725.30669788
1991-08-01,27426017.146885924
1991-09-01,21561849.056337938
1991-10-01,12130606.749414466
1991-11-01,6550112.154385941
1991-12-01,44731263.69014066
1992-01-01,22958836.73573914
1992-02-01,20577855.157159407
1992-03-01,15447978.195348784
1992-04-01,25119675.293023173
1992-05-01,68724827.45644571
1992-06-01,127844901.88644229
1992-07-01,44393869.953810446
1992-08-01,28491703.108544923
1992-09-01,24223380.02771353
1992-10-01,16473199.650172558
1992-11-01,7363482.357798133
1992-12-01,55787107.15596306
1993-01-01,27767169.15068484
1993-02-01,21377633.377422947
1993-03-01,18436170.43101475
1993-04-01,23864494.315068424
1993-05-01,65986984.42465732
1993-06-01,121937174.15068455
1993-07-01,45787670.94857126
1993-08-01,26715033.84439351
1993-09-01,23156148.60273965
1993-10-01,18937806.7474285
1993-11-01,7327706.201585482
1993-12-01,51471285.83427908
1994-01-01,32332538.727272615
1994-02-01,27716997.608342912
1994-03-01,28682848.61645415
